id,plan_name,network,mvno,mno,basic_data,daily_data,data_exhaustion,voice,message,additional_call,data_sharing,roaming_support,micro_payment,is_esim,signup_minor,signup_foreigner,has_usim,has_nfc_usim,tethering_gb,tethering_status,tethering_data_unit,esim_fee,esim_fee_status,usim_delivery_fee,nfc_usim_delivery_fee,usim_delivery_fee_status,nfc_usim_delivery_fee_status,fee,original_fee,discount_fee,discount_period,post_discount_fee,agreement,agreement_period,agreement_type,num_of_signup,mvno_rating,monthly_review_score,discount_percentage,is_5g,speed_when_exhausted,has_throttled_data,basic_data_unlimited,daily_data_unlimited,basic_data_clean,daily_data_clean,has_daily_allocation,total_data,has_unlimited_data,has_unlimited_speed,any_unlimited_data,unlimited_type,unlimited_type_numeric,throttle_speed_normalized,data_sharing_numeric,roaming_support_numeric,micro_payment_numeric,is_esim_numeric,signup_minor_numeric,signup_foreigner_numeric,voice_unlimited,voice_na,voice_clean,message_unlimited,message_na,message_clean,usim_supported,usim_is_free,nfc_usim_supported,nfc_usim_is_free,esim_supported,esim_is_free,price_per_gb,price_unlimited_adjusted,monthly_price,has_agreement
20000,5G200분/6GB-데이터소진후 자동차단,5G,고고모바일,KT,6.0,2.0,없음,200,200,0.0,False,True,True,True,False,False,,,6.0,PROVIDED,GB,2750.0,PAID,0,8800,FREE,PAID,9900,11000,9900,24,11000,True,120.0,day,29,4.2,9.9,10.0,1,0.0,0,0,0,6.0,0.0,0,6.0,0,0,0,limited,0,0.0,0,1,1,1,0,0,0,0,200,0,0,200,1,1,1,0,1,0,1650.0,18480.0,9900,1
15075,이야기 라이트 200분6GB+,LTE,이야기모바일,LGU,6.0,2.0,1Mbps,200,100,0.0,False,True,True,False,False,False,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,4400,7700,PAID,PAID,9900,14300,9900,12,14300,False,0.0,,14,4.4,9.9,30.76923076923077,0,1.0,1,0,0,6.0,0.0,0,6.0,0,0,1,throttled_unlimited,2,0.1,0,1,1,0,0,0,0,0,200,0,0,100,1,0,1,0,0,0,1320.0,7920.0,9900,0
28944,LTE 유심 (10GB/100분),LTE,sk7mobile,SKT,10.0,2.0,없음,100,100,0.0,False,True,True,True,True,True,,,10.0,CONTACT_MOBILE_PLAN_OPERATOR,GB,2750.0,PAID,6600,8800,PAID,PAID,10200,10200,10200,0,0,False,0.0,,62,4.0,0.0,0.0,0,0.0,0,0,0,10.0,0.0,0,10.0,0,0,0,limited,0,0.0,0,1,1,1,1,1,0,0,100,0,0,100,1,0,1,0,1,0,1020.0,18480.0,10200,0
10385,보편 유심 5GB 200분,LTE,헬로모바일,LGU,5.0,2.0,없음,200,100,0.0,False,True,True,False,True,True,,,5.0,PROVIDED,GB,2750.0,UNSUPPORTED,0,8800,UNSUPPORTED,PAID,9900,9900,9900,0,0,False,0.0,,21,4.1,0.0,0.0,0,0.0,0,0,0,5.0,0.0,0,5.0,0,0,0,limited,0,0.0,0,1,1,0,1,1,0,0,200,0,0,100,0,0,1,0,0,0,1980.0,18480.0,9900,0
13785,모두 충분 1.5GB+,LTE,KTskylife,KT,1.5,2.0,0Mbps,9999,9999,30.0,False,True,True,False,True,True,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,6600,8800,PAID,PAID,9900,9900,9900,0,0,False,0.0,,714,4.5,4.4,0.0,0,0.0,0,0,0,1.5,0.0,0,1.5,0,0,0,limited,0,0.0,0,1,1,0,1,1,1,0,3000,1,0,2000,1,0,1,0,0,0,6600.0,18480.0,9900,0
24189,LTE200분/ 7GB,LTE,고고모바일,KT,7.0,2.0,없음,200,100,0.0,False,True,True,True,False,False,,,7.0,PROVIDED,GB,2750.0,PAID,0,8800,FREE,PAID,9900,14190,9900,24,14190,True,120.0,day,59,4.2,9.9,30.232558139534884,0,0.0,0,0,0,7.0,0.0,0,7.0,0,0,0,limited,0,0.0,0,1,1,1,0,0,0,0,200,0,0,100,1,1,1,0,1,0,1414.2857142857142,18480.0,9900,1
28986,[매월 10GB 추가제공] 이지 데이터 15G+,LTE,이지모바일,KT,15.0,2.0,1Mbps,9999,9999,300.0,False,True,True,True,True,True,,,15.0,PROVIDED,GB,2750.0,PAID,0,7700,FREE_ON_ACTIVATION,PAID,13000,25850,13000,7,25850,False,0.0,,242,4.3,9.9,49.70986460348163,0,1.0,1,0,0,15.0,0.0,0,15.0,0,0,1,throttled_unlimited,2,0.1,0,1,1,1,1,1,1,0,3000,1,0,2000,1,1,1,0,1,0,1320.0,10400.0,13000,0
21848,데이터7GB+(밀리의서재),LTE,snowman,KT,7.0,2.0,1Mbps,9999,9999,0.0,False,False,False,False,True,True,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,5500,8800,PAID,PAID,19800,19800,19800,0,0,False,0.0,,34,4.0,0.0,0.0,0,1.0,1,0,0,7.0,0.0,0,7.0,0,0,1,throttled_unlimited,2,0.1,0,0,0,0,1,1,1,0,3000,1,0,2000,1,0,1,0,0,0,1320.0,15840.0,19800,0
16635,(5G)든든한음성기본10G,5G,프리티,SKT,10.0,2.0,없음,9999,200,0.0,False,True,False,False,True,True,,,10.0,PROVIDED,GB,2750.0,UNSUPPORTED,2200,4400,PAID,PAID,9900,14300,9900,10,14300,False,0.0,,166,4.3,0.0,30.76923076923077,1,0.0,0,0,0,10.0,0.0,0,10.0,0,0,0,limited,0,0.0,0,1,0,0,1,1,1,0,3000,0,0,200,1,0,1,0,0,0,990.0,18480.0,9900,0
29371,A 5G 스페셜 플러스,5G,amobile,LGU,80.0,2.0,1Mbps,9999,9999,300.0,False,False,False,False,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,0,0,FREE_ON_ACTIVATION,UNSUPPORTED,27500,46200,27500,7,46200,False,0.0,,0,4.2,0.0,40.476190476190474,1,1.0,1,0,0,80.0,0.0,0,80.0,0,0,1,throttled_unlimited,2,0.1,0,0,0,0,1,0,1,0,3000,1,0,2000,1,1,0,0,0,0,1320.0,22000.0,27500,0
